timestamp,ecg,pnum,condition
1671245650.739,655,4,stress
1671245651.394,677,4,stress
1671245652.071,668,4,stress
1671245652.739,655,4,stress
1671245653.394,671,4,stress
1671245654.065,636,4,stress
1671245654.701,638,4,stress
1671245655.339,626,4,stress
1671245655.965,619,4,stress
1671245656.584,620,4,stress
1671245657.204,620,4,stress
1671245657.824,632,4,stress
1671245658.456,636,4,stress
1671245659.092,644,4,stress
1671245659.736,632,4,stress
1671245660.368,632,4,stress
1671245661.0,626,4,stress
1671249931.667,681,5,baseline1
1671249932.348,653,5,baseline1
1671249933.001,661,5,baseline1
1671249933.662,702,5,baseline1
1671249934.364,717,5,baseline1
1671249935.081,733,5,baseline1
1671249935.814,706,5,baseline1
1671249936.52,665,5,baseline1
1671249937.185,693,5,baseline1
1671249937.878,687,5,baseline1
1671249938.565,669,5,baseline1
1671249939.234,666,5,baseline1
1671249939.9,704,5,baseline1
1671249940.604,741,5,baseline1
1671249941.345,745,5,baseline1
1671249942.09,720,5,baseline1
1671249942.81,749,5,baseline1
1671249943.559,773,5,baseline1
1671249944.332,750,5,baseline1
1671249945.082,721,5,baseline1
1671249945.803,752,5,baseline1
1671249946.555,762,5,baseline1
1671249947.317,717,5,baseline1
1671249948.034,696,5,baseline1
1671249948.73,734,5,baseline1
1671249949.464,782,5,baseline1
1671249950.246,796,5,baseline1
1671249951.042,754,5,baseline1
1671249951.796,749,5,baseline1
1671249952.545,793,5,baseline1
1671249953.338,816,5,baseline1
1671249954.154,796,5,baseline1
1671249954.95,760,5,baseline1
1671249955.71,791,5,baseline1
1671249956.501,821,5,baseline1
1671249957.322,797,5,baseline1
1671249958.119,776,5,baseline1
1671249958.895,807,5,baseline1
1671249959.702,829,5,baseline1
1671249960.531,813,5,baseline1
1671249961.344,784,5,baseline1
1671249962.128,821,5,baseline1
1671249962.949,845,5,baseline1
1671249963.794,824,5,baseline1
1671249964.618,790,5,baseline1
1671249965.408,813,5,baseline1
1671249966.221,847,5,baseline1
1671249967.068,827,5,baseline1
1671249967.895,765,5,baseline1
1671249968.66,780,5,baseline1
1671249969.44,812,5,baseline1
1671249970.252,804,5,baseline1
1671249971.056,766,5,baseline1
1671249971.822,807,5,baseline1
1671249972.629,855,5,baseline1
1671249973.484,860,5,baseline1
1671249974.344,807,5,baseline1
1671249975.151,780,5,baseline1
1671249975.931,805,5,baseline1
1671249976.736,832,5,baseline1
1671249977.568,796,5,baseline1
1671249978.364,763,5,baseline1
1671249979.127,783,5,baseline1
1671249979.91,826,5,baseline1
1671249980.736,835,5,baseline1
1671249981.571,778,5,baseline1
1671249982.349,766,5,baseline1
1671249983.115,809,5,baseline1
1671249983.924,813,5,baseline1
1671249984.737,780,5,baseline1
1671249985.517,728,5,baseline1
1671249986.245,730,5,baseline1
1671249986.975,747,5,baseline1
1671249987.722,748,5,baseline1
1671249988.47,719,5,baseline1
1671249989.189,725,5,baseline1
1671249989.914,791,5,baseline1
1671249990.705,823,5,baseline1
1671249991.528,794,5,baseline1
1671249992.322,750,5,baseline1
1671249993.072,766,5,baseline1
1671249993.838,796,5,baseline1
1671249994.634,813,5,baseline1
1671249995.447,760,5,baseline1
1671249996.207,747,5,baseline1
1671249996.954,777,5,baseline1
1671249997.731,778,5,baseline1
1671249998.509,721,5,baseline1
1671249999.23,733,5,baseline1
1671249999.963,761,5,baseline1
1671250000.724,753,5,baseline1
1671250001.477,718,5,baseline1
1671250002.195,745,5,baseline1
1671250002.94,788,5,baseline1
1671250003.728,815,5,baseline1
1671250004.543,770,5,baseline1
1671250005.313,732,5,baseline1
1671250006.045,763,5,baseline1
1671250006.808,811,5,baseline1
1671250007.619,824,5,baseline1
1671250008.443,773,5,baseline1
